date,time,batteryVoltage,batteryCurrent,panelVoltage,panelPower
25/3/2015,10:46:54 AM,25480,400,31480,12
25/3/2015,10:46:54 AM,25480,400,31470,12
25/3/2015,10:46:55 AM,25460,400,31430,12
25/3/2015,10:46:55 AM,25460,400,31400,12
25/3/2015,10:46:56 AM,25460,400,31340,12
25/3/2015,10:46:56 AM,25460,400,31290,12
25/3/2015,10:46:57 AM,25460,400,31330,12
25/3/2015,10:46:57 AM,25460,400,31390,12
25/3/2015,10:46:57 AM,25460,400,31430,12
25/3/2015,10:46:58 AM,25460,400,31430,12
25/3/2015,10:46:58 AM,25460,400,31460,12
25/3/2015,10:46:59 AM,25460,400,31430,12
25/3/2015,10:46:59 AM,25460,400,31390,12
25/3/2015,10:47:00 AM,25460,400,31400,12
25/3/2015,10:47:00 AM,25460,400,31300,12
25/3/2015,10:47:01 AM,25450,400,31250,12
25/3/2015,10:47:01 AM,25460,400,31170,12
25/3/2015,10:47:02 AM,25460,400,31160,12
25/3/2015,10:47:02 AM,25450,400,31160,12
25/3/2015,10:47:03 AM,25450,400,31370,12
25/3/2015,10:47:03 AM,25450,400,32790,12
25/3/2015,10:47:04 AM,25450,400,33380,12
25/3/2015,10:47:04 AM,25460,400,33910,12
25/3/2015,10:47:05 AM,25460,400,34300,13
25/3/2015,10:47:05 AM,25460,400,34730,13
25/3/2015,10:47:06 AM,25460,400,35110,13
25/3/2015,10:47:07 AM,25460,400,35520,13
25/3/2015,10:47:07 AM,25460,400,36120,13
25/3/2015,10:47:07 AM,25450,400,38120,13
25/3/2015,10:47:08 AM,25450,500,40650,13
25/3/2015,10:47:08 AM,25450,500,41430,13
25/3/2015,10:47:09 AM,25450,500,41620,13
25/3/2015,10:47:09 AM,25450,500,41980,13
25/3/2015,10:47:10 AM,25450,500,42800,13
25/3/2015,10:47:10 AM,25450,400,44560,13
25/3/2015,10:47:11 AM,25450,400,46880,12
25/3/2015,10:47:11 AM,25450,400,47120,12
25/3/2015,10:47:12 AM,25450,500,44510,13
25/3/2015,10:47:12 AM,25450,500,42550,13
25/3/2015,10:47:13 AM,25450,500,41760,13
25/3/2015,10:47:13 AM,25450,500,41500,13
25/3/2015,10:47:14 AM,25450,500,41060,13
25/3/2015,10:47:14 AM,25450,500,39010,14
25/3/2015,10:47:15 AM,25450,500,36140,13
25/3/2015,10:47:15 AM,25450,500,35520,13
25/3/2015,10:47:16 AM,25450,500,35000,13
25/3/2015,10:47:16 AM,25450,500,34420,13
25/3/2015,10:47:17 AM,25450,500,33950,13
25/3/2015,10:47:17 AM,25450,500,33520,13
25/3/2015,10:47:18 AM,25450,400,33010,13
25/3/2015,10:47:18 AM,25450,400,31430,13
25/3/2015,10:47:19 AM,25450,400,31290,13
25/3/2015,10:47:19 AM,25450,400,31360,12
25/3/2015,10:47:20 AM,25450,400,31380,12
25/3/2015,10:47:20 AM,25450,400,31400,13
25/3/2015,10:47:21 AM,25450,400,31400,13
25/3/2015,10:47:21 AM,25450,400,31530,13
25/3/2015,10:47:22 AM,25450,400,31530,13
25/3/2015,10:47:22 AM,25450,400,31570,13
25/3/2015,10:47:23 AM,25450,500,31660,13
25/3/2015,10:47:23 AM,25450,500,31790,13
